
央视频道/固定源,#genre#
酒店影视1,http://171.108.239.74:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.76:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.76:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.74:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.73:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.73:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视1,http://171.108.239.54:8181/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.74:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.74:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.76:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.76:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.54:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.73:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视2,http://171.108.239.73:8181/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.74:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.74:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.54:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.73:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.76:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.76:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店影视3,http://171.108.239.73:8181/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.74:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.74:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.76:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.76:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.73:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.73:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
酒店MV,http://171.108.239.54:8181/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.74:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.76:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.74:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.76:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.73:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.73:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森洋片,http://171.108.239.54:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.74:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.73:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.76:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.74:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.76:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.54:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森电影,http://171.108.239.73:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.74:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.76:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.54:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.73:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.73:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.76:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.74:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.74:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.76:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.76:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.54:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.73:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.73:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.74:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.54:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.74:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.73:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.73:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.76:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.74:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.76:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.74:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.76:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.74:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.76:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.54:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.73:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
哔哩杂技,http://171.108.239.73:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.76:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.74:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.54:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.76:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.74:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.73:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.73:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.74:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.74:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.73:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.76:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.76:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.73:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.54:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.74:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.76:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.74:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.76:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.73:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.54:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.73:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.74:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.73:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.74:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.76:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.54:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.73:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.76:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
